minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
3,12,1.08,1,316,595
20,31,0.98,1,0,99
15,4,0.28,1,365,45
7,5,0.1,1,356,350
3,58,1.65,3,55,28
2,4,0.11,2,0,62
30,3,0.05,1,364,400
10,3,0.06,1,0,120
4,15,0.56,4,61,175
2,104,2.56,2,356,600
30,24,0.29,3,336,89
2,25,2.27,1,95,80
30,10,0.18,1,0,79
2,30,1.84,1,5,45
1,13,4.94,3,347,31
1,3,0.12,1,0,160
1,65,1.55,13,6,15
3,63,3.76,1,0,369
1,23,2.56,1,73,95
3,5,0.14,1,0,120
30,16,0.34,2,146,220
3,16,1.46,3,357,198
2,42,0.64,1,0,179
2,42,1.99,1,0,160
2,10,0.43,1,243,407
3,1,1.0,1,64,250
30,1,0.94,6,347,55
3,3,0.42,107,258,160
1,7,0.81,1,0,85
3,3,0.09,1,0,45
2,20,1.07,1,43,94
30,52,0.53,2,365,45
4,92,2.34,1,142,100
4,9,0.34,6,24,250
2,33,2.47,5,155,300
30,49,1.6,1,0,78
2,5,0.12,1,89,165
7,3,0.07,1,0,200
2,36,1.12,3,250,36
2,109,1.39,1,89,103
30,1,0.02,1,111,39
2,34,1.02,2,68,49
2,5,0.1,1,0,215
1,2,0.05,1,0,500
120,8,0.11,18,364,63
1,1,0.06,1,180,100
30,1,0.91,1,315,75
2,10,5.45,2,161,325
29,29,0.25,1,0,65
2,30,0.45,75,0,216
1,21,3.6,1,167,100
2,10,0.17,1,0,179
4,50,1.88,35,338,165
30,122,1.34,1,365,75
1,1,0.1,2,365,75
1,5,0.57,2,352,199
5,9,0.25,2,153,550
1,121,7.1,1,319,66
1,1,0.16,181,1,135
2,14,0.97,1,364,125
1,27,2.05,1,0,100
2,2,0.1,7,0,149
2,29,1.49,1,224,284
1,381,6.3,8,22,51
3,3,0.32,2,0,45
3,33,0.94,1,22,185
30,13,0.6,2,179,121
100,12,0.33,1,0,99
2,2,0.06,1,0,54
3,2,0.27,1,171,139
5,4,0.13,157,292,262
1,1,0.38,1,365,85
3,1,0.07,9,293,205
1,85,1.44,1,311,125
3,3,0.19,3,365,75
5,12,0.98,213,331,139
3,63,3.02,1,87,113
3,61,1.23,1,67,166
1,1,0.05,23,29,167
3,37,1.14,27,307,604
1,7,0.88,1,355,76
1,2,2.0,13,78,175
2,45,1.21,4,179,73
1,26,2.07,2,169,56
30,4,0.04,2,0,180
2,61,2.27,3,277,160
3,29,1.93,1,41,125
2,54,1.08,1,334,90
1,19,0.39,4,277,45
3,34,0.49,1,89,165
30,22,0.36,1,161,45
1,16,0.84,2,9,53
20,3,0.21,1,209,350
4,115,2.15,2,348,399
2,72,1.71,1,14,90
1,85,1.4,3,322,75
30,193,4.78,4,296,78
1,7,0.11,1,0,56
3,267,4.38,1,283,200
2,4,0.18,1,179,113
1,8,0.19,233,293,264
2,9,5.0,2,320,151
30,200,3.8,1,59,94
1,110,1.47,8,190,529
1,3,1.15,15,337,399
3,2,0.14,1,0,37
13,37,0.59,1,0,179
30,1,0.02,1,0,250
2,29,2.46,4,251,159
4,6,0.34,59,236,330
1,62,1.66,1,22,225
2,102,2.5,5,344,148
4,35,1.36,10,262,112
1,7,3.62,5,89,133
30,27,0.74,3,116,65
2,87,5.75,1,70,79
30,5,0.08,30,365,122
2,1,1.0,20,346,193
4,1,0.11,59,312,264
3,4,0.16,9,104,99
2,146,3.32,1,0,85
1,103,2.58,1,0,60
30,1,0.08,18,105,95
2,15,1.5,3,250,350
2,112,3.31,1,171,1000
1,101,3.66,3,0,58
30,12,0.2,2,341,270
30,3,0.28,1,269,99
